standard,InChIKey,class,spike_amt,spike_unit
22:1 Cholesterol Ester (Add to MTBE),SQHUGNAFKZZXOT-JWTURFAQSA-N,CE,16.36363636,ug
PE (17:0/17:0),YSFFAUPDXKTJMR-DIPNUNPCSA-N,PE,0.368181818,ug
PG (17:0/17:0),ZBVHXVKEMAIWQQ-QPPIDDCLSA-N,PG,1.472727273,ug
PC (17:0/0:0),SRRQPVVYXBTRQK-XMMPIXPASA-N,LPC,0.245454545,ug
C17 Sphingosine,RBEJCQPPFCKTRZ-LHMZYYNSSA-N,Sphingosine,0.054545455,ug
C17 Ceramide,ICWGMOFDULMCFL-QKSCFGQVSA-N,Cer,0.122727273,ug
SM (d18:1/17:0),YMQZQHIESOAPQH-JXGHDCMNSA-N,SM,0.098181818,ug
Palmitic Acid (d3),IPCSVZSSVZVIGE-FIBGUPNXSA-N,FA,12.27272727,ug
PC (12:0/13:0),FCTBVSCBBWKZML-WJOKGBTCSA-N,PC,0.098181818,ug
Cholesterol (d7),HVYWMOMLDIMFJA-IFAPJKRJSA-N,Cholesterol,5.105454545,ug
TG (17:0/17:1/17:0) d5,OWYYELCHNALRQZ-ADIIQMQPSA-N,TG,0.061363636,ug
DG (12:0/12:0/0:0),OQQOAWVKVDAJOI-VWLOTQADSA-N,DG,0.490909091,ug
DG (18:1/2:0/0:0),PWTCCMJTPHCGMS-YRBAHSOBSA-N,DG2,2.945454545,ug
MG (17:0/0:0/0:0),SVUQHVRAGMNPLW-UHFFFAOYSA-N,MG,0.981818182,ug
PE (17:1/0:0) ,LNJNONCNASQZOB-HEDKFQSOSA-N,LPE,0.122727273,ug
CUDA,HPTJABJPZMULFH-UHFFFAOYSA-N,,,ug